FilterID,Average sampled energy,Percent total sampled
CN19Sc29_05_eDNA,0,0.00
CN19Sc29_06_eDNA,5.54387E-07,0.12
CN19Sc29_08_eDNA,1.08748E-06,0.24
CN19Sc29_04_eDNA,2.24641E-07,0.05
CN19Sc29_10_eDNA,2.49463E-07,0.06
CN19Sc29_09_eDNA,4.22148E-07,0.09
CN19Sc29_07_eDNA,1.51302E-06,0.34
CN19Sc29_11_eDNA,3.47607E-07,0.08
CN19Sc29_12_eDNA,9.48126E-05,21.01
CN19Sc31_01_eDNA,4.17182E-09,0.00
CN19Sc31_04_eDNA,2.2471E-07,0.01
CN19Sc31_03_eDNA,4.03627E-08,0.00
CN19Sc31_02_eDNA,1.31644E-08,0.00
CN19Sc31_07_eDNA,3.55633E-07,0.02
CN19Sc31_08_eDNA,2.63223E-07,0.02
CN19Sc31_09_eDNA,6.47675E-07,0.04
CN19Sc31_10_eDNA,8.89653E-07,0.06
CN19Sc31_11_eDNA,8.81745E-07,0.06
CN19Sc31_12_,0.000418794,26.51
CN19Sc31_12_eDNA,0.000418794,26.51
CN19Sc31_05_eDNA,4.1932E-07,0.03
CN19Sc31_06_eDNA,5.59654E-07,0.04
CN19Sc34_01_eDNA,3.12395E-08,0.00
CN19Sc34_02_eDNA,9.36646E-09,0.00
CN19Sc34_04_eDNA,1.79466E-07,0.00
CN19Sc34_11_eDNA,1.38059E-07,0.00
CN19Sc34_07_eDNA,2.04313E-06,0.00
CN19Sc34_09_eDNA,4.26455E-07,0.00
CN19Sc34_08_eDNA,5.61278E-07,0.00
CN19Sc34_06_eDNA,7.14029E-07,0.00
CN19Sc34_12_eDNA,1.56154E-05,0.00
CN19Sc36_06_eDNA,6.24964E-07,0.20
CN19Sc36_01_eDNA,1.0275E-09,0.00
CN19Sc36_02_eDNA,1.54724E-08,0.00
CN19Sc36_04_eDNA,2.7015E-07,0.09
CN19Sc36_09_eDNA,3.77147E-07,0.12
CN19Sc36_08_eDNA,9.87799E-08,0.03
CN19Sc36_11_eDNA,1.28866E-07,0.04
CN19Sc36_12_eDNA,6.015E-05,19.26
CN19Sc36_07_eDNA,1.20688E-07,0.04
CN19Sc38_12_eDNA,0.001019051,43.95
CN19Sc38_11_eDNA,4.20871E-07,0.02
CN19Sc38_10_eDNA,1.60649E-07,0.01
CN19Sc38_09_eDNA,1.37795E-07,0.01
CN19Sc38_08_eDNA,2.41507E-07,0.01
CN19Sc38_07_eDNA,1.49212E-06,0.06
CN19Sc38_06_eDNA,8.0939E-07,0.03
CN19Sc38_05_eDNA,6.76099E-07,0.03
CN19Sc38_04_eDNA,2.12724E-07,0.01
CN19Sc38_03_eDNA,3.48926E-08,0.00
CN19Sc38_02_eDNA,6.04971E-09,0.00
CN19Sc38_01_eDNA,1.26118E-09,0.00
