sample_name,FilterID,target_gene,PlateID,library,local_time,time_label,SAMPLING_cruise,depth,SAMPLING_platform,SC,ESP,SAMPLING_station_number,SAMPLING_station,SAMPLING_bottle,decimalLongitude,decimalLatitude,sample_type,Plates,Markers,Status,Dewar_name,Sampling_method,replicate,SAMPLING_rdepth,project_name,nitrate,fluor,density,pressure,minimumDepthInMeters,maximumDepthInMeters,start_GMT,end_GMT,temp,salinity,sigmat,spice,diss_oxygen,PAR (umol/s/m2),altitude,chlorophyll,bbp470 (count),bbp650 (count),SAMPLING_project,ESP_name,diel,month,day,hour,eventDate
CN19Sc31_8_eDNA_RR,CN19Sc31_08_eDNA,12S,RR,RR18,6/3/19 18:05,06-03 transition,CN19S,165.0,WESTERN FLYER,,,31.0,MARS,8.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,164.47099999999998,CANON,28.309,0.0354,26.4402,165.759,,,,,8.4312,34.0178,,,,,,0.3852,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_7_eDNA_RR,CN19Sc31_07_eDNA,12S,RR,RR19,6/3/19 18:05,06-03 transition,CN19S,200.0,WESTERN FLYER,,,31.0,MARS,7.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,199.856,CANON,28.373,0.0354,26.5156,201.438,,,,,8.0527,34.0407,,,,,,0.3852,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_6_eDNA_RR,CN19Sc31_06_eDNA,12S,RR,RR20,6/3/19 18:05,06-03 transition,CN19S,245.0,WESTERN FLYER,,,31.0,MARS,6.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,245.303,CANON,29.818,0.0337,26.5798,247.272,,,,,7.8311,34.0801,,,,,,0.341,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_5_eDNA_RR,CN19Sc31_05_eDNA,12S,RR,RR21,6/3/19 18:05,06-03 transition,CN19S,300.0,WESTERN FLYER,,,31.0,MARS,5.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,299.466,CANON,32.8,0.0343,26.6621,301.91,,,,,7.4932,34.1218,,,,,,0.3572,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_4_eDNA_RR,CN19Sc31_04_eDNA,12S,RR,RR22,6/3/19 18:05,06-03 transition,CN19S,400.0,WESTERN FLYER,,,31.0,MARS,4.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,399.15,CANON,32.934,0.0392,26.8257,402.505,,,,,6.5661,34.1667,,,,,,0.4793,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_3_eDNA_RR,CN19Sc31_03_eDNA,12S,RR,RR23,6/3/19 18:05,06-03 transition,CN19S,500.0,WESTERN FLYER,,,31.0,MARS,3.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,500.186,CANON,38.275,0.0374,26.9637,504.513,,,,,5.9246,34.2357,,,,,,0.4357,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_2_eDNA_RR,CN19Sc31_02_eDNA,12S,RR,RR24,6/3/19 18:05,06-03 transition,CN19S,600.0,WESTERN FLYER,,,31.0,MARS,2.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,599.773,CANON,41.42,0.0381,27.0684,605.109,,,,,5.4927,34.3002,,,,,,0.4525,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc31_1_eDNA_RR,CN19Sc31_01_eDNA,12S,RR,RR25,6/3/19 18:05,06-03 transition,CN19S,700.0,WESTERN FLYER,,,31.0,MARS,1.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,701.3689999999998,CANON,42.13800000000001,0.0385,27.1372,707.7819999999998,,,,,5.1304,34.3319,,,,,,0.4612,,,,,transition,6.0,3.0,18.0,2019-06-04 01:05:00
CN19Sc34_12_eDNA_RR,CN19Sc34_12_eDNA,12S,RR,RR26,6/4/19 0:07,06-04 night,CN19S,0.0,WESTERN FLYER,,,34.0,MARS,12.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,3.353,CANON,0.098,0.0844,24.2764,3.377,,,,,13.6788,32.4416,,,,,,1.6093,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_11_eDNA_RR,CN19Sc34_11_eDNA,12S,RR,RR27,6/4/19 0:07,06-04 night,CN19S,35.0,WESTERN FLYER,,,34.0,MARS,11.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,34.357,CANON,16.164,0.0412,25.697,34.615,,,,,10.5963,33.5225,,,,,,0.5291,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_9_eDNA_RR,CN19Sc34_09_eDNA,12S,RR,RR28,6/4/19 0:07,06-04 night,CN19S,100.0,WESTERN FLYER,,,34.0,MARS,9.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,101.026,CANON,24.879,0.0354,26.2082,101.802,,,,,9.2853,33.894,,,,,,0.3846,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_8_eDNA_RR,CN19Sc34_08_eDNA,12S,RR,RR29,6/4/19 0:07,06-04 night,CN19S,125.0,WESTERN FLYER,,,34.0,MARS,8.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,123.278,CANON,27.585,0.0354,26.3016,124.23,,,,,9.0022,33.955,,,,,,0.3852,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_7_eDNA_RR,CN19Sc34_07_eDNA,12S,RR,RR30,6/4/19 0:07,06-04 night,CN19S,200.0,WESTERN FLYER,,,34.0,MARS,7.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,201.421,CANON,30.995,0.0365,26.5114,203.016,,,,,8.1375,34.0514,,,,,,0.4127,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_6_eDNA_RR,CN19Sc34_06_eDNA,12S,RR,RR31,6/4/19 0:07,06-04 night,CN19S,250.0,WESTERN FLYER,,,34.0,MARS,6.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,250.165,CANON,32.624,0.0348,26.6184,252.176,,,,,7.6782,34.1009,,,,,,0.3696,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_4_eDNA_RR,CN19Sc34_04_eDNA,12S,RR,RR33,6/4/19 0:07,06-04 night,CN19S,400.0,WESTERN FLYER,,,34.0,MARS,4.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,399.492,CANON,38.189,0.0365,26.8261,402.85,,,,,6.5574,34.1657,,,,,,0.4121,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_2_eDNA_RR,CN19Sc34_02_eDNA,12S,RR,RR34,6/4/19 0:07,06-04 night,CN19S,600.0,WESTERN FLYER,,,34.0,MARS,2.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,600.644,CANON,41.788,0.0379,27.0634,605.989,,,,,5.5161,34.2972,,,,,,0.4463,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc34_1_eDNA_RR,CN19Sc34_01_eDNA,12S,RR,RR35,6/4/19 0:07,06-04 night,CN19S,700.0,WESTERN FLYER,,,34.0,MARS,1.0,-122.1988,36.7125,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,700.375,CANON,42.13800000000001,0.0374,27.1519,706.778,,,,,5.0615,34.3405,,,,,,0.4357,,,,,night,6.0,4.0,0.0,2019-06-04 07:07:00
CN19Sc36_12_eDNA_RR,CN19Sc36_12_eDNA,12S,RR,RR36,6/4/19 6:04,06-04 transition,CN19S,0.0,WESTERN FLYER,,,36.0,MARS,12.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,2.2030000000000003,CANON,0.7509999999999999,0.0934,24.226,2.22,,,,,13.9497,32.448,,,,,,1.8355,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_11_eDNA_RR,CN19Sc36_11_eDNA,12S,RR,RR37,6/4/19 6:04,06-04 transition,CN19S,35.0,WESTERN FLYER,,,36.0,MARS,11.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,35.238,CANON,16.253,0.0431,25.585,35.50199999999999,,,,,10.8735,33.4413,,,,,,0.5771,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_9_eDNA_RR,CN19Sc36_09_eDNA,12S,RR,RR38,6/4/19 6:04,06-04 transition,CN19S,100.0,WESTERN FLYER,,,36.0,MARS,9.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,99.403,CANON,24.757,0.0354,26.2166,100.165,,,,,9.2645,33.9005,,,,,,0.3852,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_8_eDNA_RR,CN19Sc36_08_eDNA,12S,RR,RR39,6/4/19 6:04,06-04 transition,CN19S,125.0,WESTERN FLYER,,,36.0,MARS,8.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,125.929,CANON,27.092,0.0358,26.3466,126.903,,,,,8.7886,33.9695,,,,,,0.3964,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_7_eDNA_RR,CN19Sc36_07_eDNA,12S,RR,RR40,6/4/19 6:04,06-04 transition,CN19S,200.0,WESTERN FLYER,,,36.0,MARS,7.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,200.303,CANON,31.821,0.0357,26.5309,201.888,,,,,8.0787,34.0651,,,,,,0.3939,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_6_eDNA_RR,CN19Sc36_06_eDNA,12S,RR,RR41,6/4/19 6:04,06-04 transition,CN19S,250.0,WESTERN FLYER,,,36.0,MARS,6.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,250.251,CANON,32.584,0.0336,26.6221,252.263,,,,,7.6641,34.1029,,,,,,0.3404,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_4_eDNA_RR,CN19Sc36_04_eDNA,12S,RR,RR42,6/4/19 6:04,06-04 transition,CN19S,400.0,WESTERN FLYER,,,36.0,MARS,4.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,400.366,CANON,31.634,0.0367,26.8246,403.733,,,,,6.5921,34.1696,,,,,,0.4183,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_2_eDNA_RR,CN19Sc36_02_eDNA,12S,RR,RR43,6/4/19 6:04,06-04 transition,CN19S,600.0,WESTERN FLYER,,,36.0,MARS,2.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,600.257,CANON,40.011,0.0367,27.0531,605.5980000000002,,,,,5.5635,34.2915,,,,,,0.417,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc36_1_eDNA_RR,CN19Sc36_01_eDNA,12S,RR,RR44,6/4/19 6:04,06-04 transition,CN19S,700.0,WESTERN FLYER,,,36.0,MARS,1.0,-122.1982,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,699.699,CANON,39.135,0.0369,27.1718,706.095,,,,,4.9641,34.3515,,,,,,0.4233,,,,,transition,6.0,4.0,6.0,2019-06-04 13:04:00
CN19Sc38_12_eDNA_RR,CN19Sc38_12_eDNA,12S,RR,RR45,6/4/19 12:05,06-04 day,CN19S,0.0,WESTERN FLYER,,,38.0,MARS,12.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,3.3560000000000003,CANON,0.384,0.0826,24.6085,3.381,,,,,13.2439,32.7583,,,,,,1.5657,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_11_eDNA_RR,CN19Sc38_11_eDNA,12S,RR,RR46,6/4/19 12:05,06-04 day,CN19S,50.0,WESTERN FLYER,,,38.0,MARS,11.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,49.87600000000001,CANON,22.123,0.0372,25.9617,50.253,,,,,9.8764,33.704,,,,,,0.4301,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_10_eDNA_RR,CN19Sc38_10_eDNA,12S,RR,RR47,6/4/19 12:05,06-04 day,CN19S,75.0,WESTERN FLYER,,,38.0,MARS,10.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,75.282,CANON,24.62,0.0366,26.1265,75.855,,,,,9.4603,33.8265,,,,,,0.4158,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_9_eDNA_RR,CN19Sc38_09_eDNA,12S,RR,RR48,6/4/19 12:05,06-04 day,CN19S,100.0,WESTERN FLYER,,,38.0,MARS,9.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,101.15,CANON,28.109,0.0365,26.2445,101.926,,,,,9.1639,33.9154,,,,,,0.4133,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_8_eDNA_RR,CN19Sc38_08_eDNA,12S,RR,RR49,6/4/19 12:05,06-04 day,CN19S,130.0,WESTERN FLYER,,,38.0,MARS,8.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,130.041,CANON,27.418000000000006,0.0369,26.3244,131.048,,,,,8.8753,33.9585,,,,,,0.4226,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_7_eDNA_RR,CN19Sc38_07_eDNA,12S,RR,RR50,6/4/19 12:05,06-04 day,CN19S,200.0,WESTERN FLYER,,,38.0,MARS,7.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,199.829,CANON,26.077,0.0354,26.5103,201.41,,,,,8.1513,34.0527,,,,,,0.3852,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_6_eDNA_RR,CN19Sc38_06_eDNA,12S,RR,RR51,6/4/19 12:05,06-04 day,CN19S,250.0,WESTERN FLYER,,,38.0,MARS,6.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,249.599,CANON,32.172,0.0355,26.6179,251.605,,,,,7.7387,34.1114,,,,,,0.3877,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_5_eDNA_RR,CN19Sc38_05_eDNA,12S,RR,RR52,6/4/19 12:05,06-04 day,CN19S,300.0,WESTERN FLYER,,,38.0,MARS,5.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,299.208,CANON,34.675,0.0366,26.7111,301.65,,,,,7.1957,34.1311,,,,,,0.4158,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_4_eDNA_RR,CN19Sc38_04_eDNA,12S,RR,RR53,6/4/19 12:05,06-04 day,CN19S,400.0,WESTERN FLYER,,,38.0,MARS,4.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Filters (racks A-D),Tube Extracts (racks E-G)",,CTD,,400.187,CANON,35.124,0.0379,26.845,403.551,,,,,6.4554,34.1727,,,,,,0.4463,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_3_eDNA_RR,CN19Sc38_03_eDNA,12S,RR,RR54,6/4/19 12:05,06-04 day,CN19S,500.0,WESTERN FLYER,,,38.0,MARS,3.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,499.769,CANON,36.825,0.0367,26.9677,504.093,,,,,5.9157,34.2394,,,,,,0.417,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_2_eDNA_RR,CN19Sc38_02_eDNA,12S,RR,RR55,6/4/19 12:05,06-04 day,CN19S,600.0,WESTERN FLYER,,,38.0,MARS,2.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,599.489,CANON,38.75,0.0371,27.0987,604.822,,,,,5.3316,34.3142,,,,,,0.4276,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc38_1_eDNA_RR,CN19Sc38_01_eDNA,12S,RR,RR56,6/4/19 12:05,06-04 day,CN19S,700.0,WESTERN FLYER,,,38.0,MARS,1.0,-122.198,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,699.198,CANON,37.93,0.0383,27.1768,705.5880000000002,,,,,4.939,34.3543,,,,,,0.4563,,,,,day,6.0,4.0,12.0,2019-06-04 19:05:00
CN19Sc28_12_eDNA_RR,CN19Sc28_12_eDNA,12S,RR,RR57,6/3/19 9:02,06-03 day,CN19S,0.0,WESTERN FLYER,,,28.0,OFFMARS_E,12.0,-122.1645,36.712,environmental,"SS,RR,PP","18S,12S,COI","Tube Extracts (racks E-G),Filters (racks A-D)",,CTD,,1.6980000000000002,CANON,0.298,0.0965,24.2484,1.711,,,,,13.895,32.4624,,,,,,1.9115,,,,,day,6.0,3.0,9.0,2019-06-03 16:02:00
